category,model,number_of_apps
text-generation,gpt2,1212
text-generation,baffo32/decapoda-research-llama-7B-hf,0
text-generation,distilgpt2,111
text-generation,tiiuae/falcon-40b-instruct,62
text-generation,bigscience/bloom-560m,82
text-generation,mistralai/Mixtral-8x7B-Instruct-v0.1,255
text-generation,meta-llama/Llama-2-7b-chat-hf,605
text-generation,davidkim205/komt-mistral-7b-v1,4
text-generation,teknium/OpenHermes-2-Mistral-7B,3
text-generation,TheBloke/Mixtral-8x7B-Instruct-v0.1-GPTQ,1
text-generation,mistralai/Mistral-7B-v0.1,245
text-generation,h2oai/h2ogpt-4096-llama2-7b-chat,9
text-generation,meta-llama/Llama-2-7b-hf,109
text-generation,facebook/opt-125m,82
text-generation,TheBloke/vicuna-7B-v1.3-GPTQ,0
text-generation,petals-team/StableBeluga2,6
text-generation,TheBloke/Wizard-Vicuna-7B-Uncensored-GPTQ,3
text-generation,microsoft/phi-2,67
text-generation,HuggingFaceM4/tiny-random-LlamaForCausalLM,0
text-generation,openai-community/gpt2-large,1
text-generation,NousResearch/Nous-Hermes-Llama2-13b,43
text-generation,TinyPixel/Llama-2-7B-bf16-sharded,7
text-generation,OpenAssistant/llama2-13b-orca-8k-3319,17
text-generation,meta-llama/Llama-2-13b-chat-hf,186
text-generation,mistralai/Mistral-7B-Instruct-v0.2,41
text-generation,openai-community/gpt2-xl,0
text-generation,EleutherAI/gpt-neo-125m,24
text-generation,mistralai/Mistral-7B-Instruct-v0.1,316
text-generation,NousResearch/Llama-2-7b-chat-hf,10
text-generation,openai-community/gpt2-medium,0
